month;sales
01/01/2021 00:05;25,9
01/01/2021 00:10;25,9
01/01/2021 00:15;25,9
01/01/2021 00:20;25,9
01/01/2021 00:25;25,9
01/01/2021 00:30;25,9
01/01/2021 00:35;25,9
01/01/2021 00:40;25,9
01/01/2021 00:45;25,9
01/01/2021 00:50;25,9
01/01/2021 00:55;25,9
01/01/2021 01:00;25,9
01/01/2021 01:05;25,9
01/01/2021 01:10;25,9
01/01/2021 01:15;25,9
01/01/2021 01:20;25,9
01/01/2021 01:25;25,9
01/01/2021 01:30;25,9
01/01/2021 01:35;25,9
01/01/2021 01:40;25,9
01/01/2021 01:45;25,9
01/01/2021 01:50;25,9
01/01/2021 01:55;25,9
01/01/2021 02:00;25,9
01/01/2021 02:05;25,9
01/01/2021 02:10;25,9
01/01/2021 02:15;25,9
01/01/2021 02:20;25,9
01/01/2021 02:25;25,9
01/01/2021 02:30;25,9
01/01/2021 02:35;25,9
01/01/2021 02:40;25,9
01/01/2021 02:45;25,9
01/01/2021 02:50;25,9
01/01/2021 02:55;25,9
01/01/2021 03:00;25,9
01/01/2021 03:05;25,9
01/01/2021 03:10;25,9
01/01/2021 03:15;25,9
01/01/2021 03:20;26,1
01/01/2021 03:25;26,1
01/01/2021 03:30;26,1
01/01/2021 03:35;26,2
01/01/2021 03:40;26,1
01/01/2021 03:45;26,1
01/01/2021 03:50;26,1
01/01/2021 03:55;26,05
01/01/2021 04:00;26,05
01/01/2021 04:05;26,05
01/01/2021 04:10;26
01/01/2021 04:15;25,9
01/01/2021 04:20;25,9
01/01/2021 04:25;25,8
01/01/2021 04:30;25,85
01/01/2021 04:35;25,9
01/01/2021 04:40;25,9
01/01/2021 04:45;25,9
01/01/2021 04:50;25,9
01/01/2021 04:55;25,75
01/01/2021 05:00;25,7
01/01/2021 05:05;25,7
01/01/2021 05:10;25,7
01/01/2021 05:15;25,5
01/01/2021 05:20;25,4
01/01/2021 05:25;25,3
01/01/2021 05:30;25,25
01/01/2021 05:35;25,2
01/01/2021 05:40;25,1
01/01/2021 05:45;25,05
01/01/2021 05:50;25
01/01/2021 05:55;24,9
01/01/2021 06:00;24,85
01/01/2021 06:05;24,8
01/01/2021 06:10;24,6
01/01/2021 06:15;24,6
01/01/2021 06:20;24,7
01/01/2021 06:25;24,7
01/01/2021 06:30;24,7
01/01/2021 06:35;24,7
01/01/2021 06:40;24,7
01/01/2021 06:45;24,8
01/01/2021 06:50;24,8
01/01/2021 06:55;24,8
01/01/2021 07:00;24,75
01/01/2021 07:05;24,7
01/01/2021 07:10;24,7
01/01/2021 07:15;24,65
01/01/2021 07:20;24,6
01/01/2021 07:25;24,6
01/01/2021 07:30;24,6
01/01/2021 07:35;24,75
01/01/2021 07:40;24,8
01/01/2021 07:45;25,05
01/01/2021 07:50;25,3
01/01/2021 07:55;25,4
01/01/2021 08:00;25,7
01/01/2021 08:05;26
01/01/2021 08:10;26,3
01/01/2021 08:15;26,65
01/01/2021 08:20;27,1
01/01/2021 08:25;27,4
01/01/2021 08:30;27,7
01/01/2021 08:35;28,1
01/01/2021 08:40;28,5
01/01/2021 08:45;28,5
01/01/2021 08:50;28,9
01/01/2021 08:55;29,3
01/01/2021 09:00;29,7
01/01/2021 09:05;30
01/01/2021 09:10;30,5
01/01/2021 09:15;31,1
01/01/2021 09:20;31,1
01/01/2021 09:25;31
01/01/2021 09:30;31,6
01/01/2021 09:35;32,2
01/01/2021 09:40;33
01/01/2021 09:45;33,7
01/01/2021 09:50;34,1
01/01/2021 09:55;34,1
01/01/2021 10:00;34,6
01/01/2021 10:05;35,4
01/01/2021 10:10;35,8
01/01/2021 10:15;36,4
01/01/2021 10:20;36,7
01/01/2021 10:25;36,7
01/01/2021 10:30;
01/01/2021 10:35;37,4
01/01/2021 10:40;37,5
01/01/2021 10:45;38
01/01/2021 10:50;38,2
01/01/2021 10:55;37,7
01/01/2021 11:00;
01/01/2021 11:05;38,5
01/01/2021 11:10;38,8
01/01/2021 11:15;39,6
01/01/2021 11:20;39,2
01/01/2021 11:25;40,3
01/01/2021 11:30;40,8
01/01/2021 11:35;40,3
01/01/2021 11:40;40,3
01/01/2021 11:45;40,6
01/01/2021 11:50;40,5
01/01/2021 11:55;40
01/01/2021 12:00;40,1
01/01/2021 12:05;41
01/01/2021 12:10;40,6
01/01/2021 12:15;41,5
01/01/2021 12:20;41,4
01/01/2021 12:25;41,6
01/01/2021 12:30;40,8
01/01/2021 12:35;41,8
01/01/2021 12:40;41,9
01/01/2021 12:45;41,3
01/01/2021 12:50;42,2
01/01/2021 12:55;41,7
01/01/2021 13:00;40,8
01/01/2021 13:05;41,8
01/01/2021 13:10;42,2
01/01/2021 13:15;42,6
01/01/2021 13:20;42,2
01/01/2021 13:25;41,4
01/01/2021 13:30;42,2
01/01/2021 13:35;42,8
01/01/2021 13:40;43
01/01/2021 13:45;43,5
01/01/2021 13:50;43,95
01/01/2021 13:55;43,5
01/01/2021 14:00;43,1
01/01/2021 14:05;43,2
01/01/2021 14:10;42,2
01/01/2021 14:15;41,55
01/01/2021 14:20;42,3
01/01/2021 14:25;42,2
01/01/2021 14:30;41,4
01/01/2021 14:35;40,95
01/01/2021 14:40;40,9
01/01/2021 14:45;40,5
01/01/2021 14:50;40,3
01/01/2021 14:55;40,4
01/01/2021 15:00;38,7
01/01/2021 15:05;39,2
01/01/2021 15:10;39,4
01/01/2021 15:15;39,2
01/01/2021 15:20;39,3
01/01/2021 15:25;39,2
01/01/2021 15:30;39,2
01/01/2021 15:35;39,9
01/01/2021 15:40;39,3
01/01/2021 15:45;39,3
01/01/2021 15:50;39,4
01/01/2021 15:55;39
01/01/2021 16:00;38,8
01/01/2021 16:05;38,6
01/01/2021 16:10;38,3
01/01/2021 16:15;38,4
01/01/2021 16:20;38,1
01/01/2021 16:25;37
01/01/2021 16:30;37,4
01/01/2021 16:35;37,4
01/01/2021 16:40;37
01/01/2021 16:45;36,4
01/01/2021 16:50;36,4
01/01/2021 16:55;36,4
01/01/2021 17:00;35,7
01/01/2021 17:05;35,9
01/01/2021 17:10;35,7
01/01/2021 17:15;35,1
01/01/2021 17:20;34,9
01/01/2021 17:25;34,6
01/01/2021 17:30;34,4
01/01/2021 17:35;34,2
01/01/2021 17:40;33,8
01/01/2021 17:45;33,6
01/01/2021 17:50;33,2
01/01/2021 17:55;33,2
01/01/2021 18:00;32,8
01/01/2021 18:05;32,3
01/01/2021 18:10;31,9
01/01/2021 18:15;31,4
01/01/2021 18:20;31
01/01/2021 18:25;30,5
01/01/2021 18:30;30,2
01/01/2021 18:35;30,1
01/01/2021 18:40;29,8
01/01/2021 18:45;29,7
01/01/2021 18:50;29,5
01/01/2021 18:55;29,4
01/01/2021 19:00;29,3
01/01/2021 19:05;29,1
01/01/2021 19:10;28,95
01/01/2021 19:15;28,9
01/01/2021 19:20;28,8
01/01/2021 19:25;28,5
01/01/2021 19:30;28,3
01/01/2021 19:35;28,1
01/01/2021 19:40;27,9
01/01/2021 19:45;28
01/01/2021 19:50;27,8
01/01/2021 19:55;27,7
01/01/2021 20:00;27,8
01/01/2021 20:05;27,6
01/01/2021 20:10;27,5
01/01/2021 20:15;27,2
01/01/2021 20:20;27
01/01/2021 20:25;27,1
01/01/2021 20:30;27,1
01/01/2021 20:35;26,75
01/01/2021 20:40;26,4
01/01/2021 20:45;26,3
01/01/2021 20:50;26,2
01/01/2021 20:55;26,1
01/01/2021 21:00;26,1
01/01/2021 21:05;26,1
01/01/2021 21:10;26,1
01/01/2021 21:15;26,1
01/01/2021 21:20;26,1
01/01/2021 21:25;26,1
01/01/2021 21:30;26,1
01/01/2021 21:35;26,1
01/01/2021 21:40;26,1
01/01/2021 21:45;26,1
01/01/2021 21:50;26,1
01/01/2021 21:55;26,1
01/01/2021 22:00;26,1
01/01/2021 22:05;26,1
01/01/2021 22:10;26,1
01/01/2021 22:15;26,1
01/01/2021 22:20;26,1
01/01/2021 22:25;26,1
01/01/2021 22:30;26,1
01/01/2021 22:35;26,1
01/01/2021 22:40;26,1
01/01/2021 22:45;26,1
01/01/2021 22:50;26,1
01/01/2021 22:55;26,1
01/01/2021 23:00;26,1
01/01/2021 23:05;26,1
01/01/2021 23:10;26,1
01/01/2021 23:15;26,1
01/01/2021 23:20;26,1
01/01/2021 23:25;26,1
01/01/2021 23:30;26,1
01/01/2021 23:35;26,1
01/01/2021 23:40;26,1
01/01/2021 23:45;26,1
01/01/2021 23:50;26,1
01/01/2021 23:55;26,1
02/01/2021 00:00;26,1
02/01/2021 00:05;26,1
02/01/2021 00:10;26,1
02/01/2021 00:15;26,1
02/01/2021 00:20;26,1
02/01/2021 00:25;26,1
02/01/2021 00:30;26,1
02/01/2021 00:35;26,1
02/01/2021 00:40;26,1
02/01/2021 00:45;26,1
02/01/2021 00:50;26,1
02/01/2021 00:55;26,1
02/01/2021 01:00;26,1
02/01/2021 01:05;26,1
02/01/2021 01:10;26,1
02/01/2021 01:15;26,1
02/01/2021 01:20;26,1
02/01/2021 01:25;26,1
02/01/2021 01:30;26,1
02/01/2021 01:35;26,1
02/01/2021 01:40;26,1
02/01/2021 01:45;26,1
02/01/2021 01:50;26,1
02/01/2021 01:55;26,1
02/01/2021 02:00;26,1
02/01/2021 02:05;26,1
02/01/2021 02:10;26,1
02/01/2021 02:15;26,1
02/01/2021 02:20;26,1
02/01/2021 02:25;26,1
02/01/2021 02:30;26,1
02/01/2021 02:35;26,1
02/01/2021 02:40;26,1
02/01/2021 02:45;26,1
02/01/2021 02:50;26,1
02/01/2021 02:55;26,1
02/01/2021 03:00;23,5
02/01/2021 03:05;23,7
02/01/2021 03:10;23,6
02/01/2021 03:15;23,6
02/01/2021 03:20;23,6
02/01/2021 03:25;23,6
02/01/2021 03:30;23,6
02/01/2021 03:35;23,6
02/01/2021 03:40;23,6
02/01/2021 03:45;23,6
02/01/2021 03:50;23,6
02/01/2021 03:55;23,6
02/01/2021 04:00;23,6
02/01/2021 04:05;23,6
02/01/2021 04:10;23,6
02/01/2021 04:15;23,6
02/01/2021 04:20;23,6
02/01/2021 04:25;23,6
02/01/2021 04:30;23,6
02/01/2021 04:35;23,6
02/01/2021 04:40;23,6
02/01/2021 04:45;23,6
02/01/2021 04:50;23,6
02/01/2021 04:55;23,6
02/01/2021 05:00;23,4
02/01/2021 05:05;23,4
02/01/2021 05:10;23,4
02/01/2021 05:15;23,2
02/01/2021 05:20;23,2
02/01/2021 05:25;23,2
02/01/2021 05:30;23,2
02/01/2021 05:35;23,1
02/01/2021 05:40;23
02/01/2021 05:45;23
02/01/2021 05:50;23,4
02/01/2021 05:55;23,5
02/01/2021 06:00;23,4
02/01/2021 06:05;23,2
02/01/2021 06:10;23,1
02/01/2021 06:15;22,8
02/01/2021 06:20;22,8
02/01/2021 06:25;22,9
02/01/2021 06:30;22,8
02/01/2021 06:35;22,7
02/01/2021 06:40;22,8
02/01/2021 06:45;22,6
02/01/2021 06:50;22,7
02/01/2021 06:55;23,1
02/01/2021 07:00;23,4
02/01/2021 07:05;23,3
02/01/2021 07:10;23,3
02/01/2021 07:15;23,4
02/01/2021 07:20;23,3
02/01/2021 07:25;23,2
02/01/2021 07:30;22,95
02/01/2021 07:35;23
02/01/2021 07:40;23,1
02/01/2021 07:45;23,2
02/01/2021 07:50;23,5
02/01/2021 07:55;23,7
02/01/2021 08:00;23,9
02/01/2021 08:05;24,1
02/01/2021 08:10;24,3
02/01/2021 08:15;24,7
02/01/2021 08:20;25,1
02/01/2021 08:25;25,3
02/01/2021 08:30;25,6
02/01/2021 08:35;26,2
02/01/2021 08:40;26,6
02/01/2021 08:45;27,1
02/01/2021 08:50;27,7
02/01/2021 08:55;28,3
02/01/2021 09:00;28,7
02/01/2021 09:05;29,2
02/01/2021 09:10;29,3
02/01/2021 09:15;30,2
02/01/2021 09:20;30,2
02/01/2021 09:25;30,6
02/01/2021 09:30;30,8
02/01/2021 09:35;31,2
02/01/2021 09:40;31,5
02/01/2021 09:45;31,8
02/01/2021 09:50;31,9
02/01/2021 09:55;32,1
02/01/2021 10:00;32,9
02/01/2021 10:05;33,5
02/01/2021 10:10;34,1
02/01/2021 10:15;34,3
02/01/2021 10:20;34,6
02/01/2021 10:25;34,7
02/01/2021 10:30;34,75
02/01/2021 10:35;35,6
02/01/2021 10:40;35,6
02/01/2021 10:45;36
02/01/2021 10:50;36,4
02/01/2021 10:55;36,8
02/01/2021 11:00;37,3
02/01/2021 11:05;37,3
02/01/2021 11:10;37,3
02/01/2021 11:15;37,45
02/01/2021 11:20;37,9
02/01/2021 11:25;38,3
02/01/2021 11:30;38,4
02/01/2021 11:35;38,5
02/01/2021 11:40;38,4
02/01/2021 11:45;39,3
02/01/2021 11:50;38,9
02/01/2021 11:55;39,8
02/01/2021 12:00;40,2
02/01/2021 12:05;40,5
02/01/2021 12:10;40,2
02/01/2021 12:15;40,3
02/01/2021 12:20;40,5
02/01/2021 12:25;40,9
02/01/2021 12:30;40,7
02/01/2021 12:35;40,7
02/01/2021 12:40;41,4
02/01/2021 12:45;41,5
02/01/2021 12:50;42,5
02/01/2021 12:55;42,6
02/01/2021 13:00;42,5
02/01/2021 13:05;42,8
02/01/2021 13:10;43,05
02/01/2021 13:15;42,2
02/01/2021 13:20;42,7
02/01/2021 13:25;43,25
02/01/2021 13:30;43,1
02/01/2021 13:35;42
02/01/2021 13:40;43,25
02/01/2021 13:45;43,6
02/01/2021 13:50;44
02/01/2021 13:55;43,8
02/01/2021 14:00;42,7
02/01/2021 14:05;42,6
02/01/2021 14:10;41,8
02/01/2021 14:15;41,45
02/01/2021 14:20;41,5
02/01/2021 14:25;40,2
02/01/2021 14:30;40,45
02/01/2021 14:35;40,45
02/01/2021 14:40;40,5
02/01/2021 14:45;41,8
02/01/2021 14:50;41,9
02/01/2021 14:55;40,55
02/01/2021 15:00;40,7
02/01/2021 15:05;40,7
02/01/2021 15:10;42,05
02/01/2021 15:15;41,7
02/01/2021 15:20;41,5
02/01/2021 15:25;40,5
02/01/2021 15:30;40,2
02/01/2021 15:35;40,5
