month;sales
02/01/2021 15:40;39,15
02/01/2021 15:45;38,7
02/01/2021 15:50;38,8
02/01/2021 15:55;39,5
02/01/2021 16:00;38,6
02/01/2021 16:05;38,4
02/01/2021 16:10;38,45
02/01/2021 16:15;37,8
02/01/2021 16:20;38,1
02/01/2021 16:25;37,4
02/01/2021 16:30;37,6
02/01/2021 16:35;37,3
02/01/2021 16:40;36,9
02/01/2021 16:45;36,5
02/01/2021 16:50;36,5
02/01/2021 16:55;35,8
02/01/2021 17:00;35,4
02/01/2021 17:05;35,3
02/01/2021 17:10;35,3
02/01/2021 17:15;35
02/01/2021 17:20;34,8
02/01/2021 17:25;34,65
02/01/2021 17:30;34,3
02/01/2021 17:35;34,2
02/01/2021 17:40;33,9
02/01/2021 17:45;33,5
02/01/2021 17:50;33,1
02/01/2021 17:55;32,9
02/01/2021 18:00;32,3
02/01/2021 18:05;31,8
02/01/2021 18:10;31,5
02/01/2021 18:15;31,1
02/01/2021 18:20;30,75
02/01/2021 18:25;30,2
02/01/2021 18:30;29,9
02/01/2021 18:35;29,65
02/01/2021 18:40;29,3
02/01/2021 18:45;29,2
02/01/2021 18:50;29,1
02/01/2021 18:55;29
02/01/2021 19:00;28,8
02/01/2021 19:05;28,7
02/01/2021 19:10;28,45
02/01/2021 19:15;28,4
02/01/2021 19:20;28,3
02/01/2021 19:25;28,15
02/01/2021 19:30;28
02/01/2021 19:35;27,8
02/01/2021 19:40;27,8
02/01/2021 19:45;27,7
02/01/2021 19:50;27,55
02/01/2021 19:55;27,4
02/01/2021 20:00;27,3
02/01/2021 20:05;27,1
02/01/2021 20:10;26,9
02/01/2021 20:15;26,7
02/01/2021 20:20;26,5
02/01/2021 20:25;26,2
02/01/2021 20:30;26,1
02/01/2021 20:35;26
02/01/2021 20:40;26
02/01/2021 20:45;25,9
02/01/2021 20:50;26
02/01/2021 20:55;25,9
02/01/2021 21:00;25,9
02/01/2021 21:05;25,9
02/01/2021 21:10;25,9
02/01/2021 21:15;25,9
02/01/2021 21:20;25,9
02/01/2021 21:25;25,9
02/01/2021 21:30;25,9
02/01/2021 21:35;25,9
02/01/2021 21:40;25,9
02/01/2021 21:45;25,9
02/01/2021 21:50;25,9
02/01/2021 21:55;25,9
02/01/2021 22:00;25,9
02/01/2021 22:05;25,9
02/01/2021 22:10;25,9
02/01/2021 22:15;25,9
02/01/2021 22:20;25,9
02/01/2021 22:25;25,9
02/01/2021 22:30;25,9
02/01/2021 22:35;25,9
02/01/2021 22:40;25,9
02/01/2021 22:45;25,9
02/01/2021 22:50;25,9
02/01/2021 22:55;25,9
02/01/2021 23:00;25,9
02/01/2021 23:05;25,9
02/01/2021 23:10;25,9
02/01/2021 23:15;25,9
02/01/2021 23:20;25,9
02/01/2021 23:25;25,9
02/01/2021 23:30;25,9
02/01/2021 23:35;25,9
02/01/2021 23:40;25,9
02/01/2021 23:45;25,9
02/01/2021 23:50;25,9
02/01/2021 23:55;25,9
03/01/2021 00:00;25,9
03/01/2021 00:05;25,9
03/01/2021 00:10;25,9
03/01/2021 00:15;25,9
03/01/2021 00:20;25,9
03/01/2021 00:25;25,9
03/01/2021 00:30;25,9
03/01/2021 00:35;25,9
03/01/2021 00:40;25,9
03/01/2021 00:45;25,9
03/01/2021 00:50;25,9
03/01/2021 00:55;25,9
03/01/2021 01:00;25,9
03/01/2021 01:05;25,9
03/01/2021 01:10;25,9
03/01/2021 01:15;25,9
03/01/2021 01:20;25,9
03/01/2021 01:25;25,9
03/01/2021 01:30;25,9
03/01/2021 01:35;25,9
03/01/2021 01:40;25,9
03/01/2021 01:45;25,9
03/01/2021 01:50;25,9
03/01/2021 01:55;25,9
03/01/2021 02:00;25,9
03/01/2021 02:05;25,9
03/01/2021 02:10;25,9
03/01/2021 02:15;25,9
03/01/2021 02:20;25,9
03/01/2021 02:25;25,9
03/01/2021 02:30;25,9
03/01/2021 02:35;25,9
03/01/2021 02:40;25,9
03/01/2021 02:45;25,9
03/01/2021 02:50;25,9
03/01/2021 02:55;25,9
03/01/2021 03:00;25,9
03/01/2021 03:05;25,9
03/01/2021 03:10;25,9
03/01/2021 03:15;25,9
03/01/2021 03:20;25,9
03/01/2021 03:25;25,9
03/01/2021 03:30;25,9
03/01/2021 03:35;25,9
03/01/2021 03:40;25,9
03/01/2021 03:45;25,9
03/01/2021 03:50;25,9
03/01/2021 03:55;25,9
03/01/2021 04:00;25,9
03/01/2021 04:05;25,9
03/01/2021 04:10;25,9
03/01/2021 04:15;25,9
03/01/2021 04:20;25,9
03/01/2021 04:25;25,9
03/01/2021 04:30;25,9
03/01/2021 04:35;25,9
03/01/2021 04:40;25,9
03/01/2021 04:45;25,9
03/01/2021 04:50;25,9
03/01/2021 04:55;25,9
03/01/2021 05:00;22,15
03/01/2021 05:05;22,1
03/01/2021 05:10;22,1
03/01/2021 05:15;22
03/01/2021 05:20;22,1
03/01/2021 05:25;21,9
03/01/2021 05:30;21,7
03/01/2021 05:35;21,8
03/01/2021 05:40;21,8
03/01/2021 05:45;21,8
03/01/2021 05:50;21,8
03/01/2021 05:55;21,85
03/01/2021 06:00;21,9
03/01/2021 06:05;22,1
03/01/2021 06:10;22,1
03/01/2021 06:15;22,05
03/01/2021 06:20;22,2
03/01/2021 06:25;22,2
03/01/2021 06:30;22,3
03/01/2021 06:35;22,3
03/01/2021 06:40;22,2
03/01/2021 06:45;22,15
03/01/2021 06:50;22,1
03/01/2021 06:55;22,2
03/01/2021 07:00;22,2
03/01/2021 07:05;22,2
03/01/2021 07:10;22,2
03/01/2021 07:15;22,2
03/01/2021 07:20;22,2
03/01/2021 07:25;22,25
03/01/2021 07:30;22,5
03/01/2021 07:35;22,5
03/01/2021 07:40;22,65
03/01/2021 07:45;22,7
03/01/2021 07:50;22,7
03/01/2021 07:55;23,1
03/01/2021 08:00;23,4
03/01/2021 08:05;23,7
03/01/2021 08:10;24
03/01/2021 08:15;24,3
03/01/2021 08:20;24,6
03/01/2021 08:25;24,9
03/01/2021 08:30;25,4
03/01/2021 08:35;25,85
03/01/2021 08:40;26,2
03/01/2021 08:45;26,6
03/01/2021 08:50;27
03/01/2021 08:55;27,2
03/01/2021 09:00;27,5
03/01/2021 09:05;28
03/01/2021 09:10;28,6
03/01/2021 09:15;28,9
03/01/2021 09:20;29,2
03/01/2021 09:25;29,2
03/01/2021 09:30;29,6
03/01/2021 09:35;30,5
03/01/2021 09:40;31,4
03/01/2021 09:45;31,7
03/01/2021 09:50;32,2
03/01/2021 09:55;32,8
03/01/2021 10:00;33,45
03/01/2021 10:05;33,7
03/01/2021 10:10;33,9
03/01/2021 10:15;34,1
03/01/2021 10:20;34,6
03/01/2021 10:25;35,4
03/01/2021 10:30;34,5
03/01/2021 10:35;34,7
03/01/2021 10:40;35,55
03/01/2021 10:45;36,3
03/01/2021 10:50;36,2
03/01/2021 10:55;36,3
03/01/2021 11:00;36,6
03/01/2021 11:05;36,35
03/01/2021 11:10;36,9
03/01/2021 11:15;36,5
03/01/2021 11:20;37,45
03/01/2021 11:25;38,3
03/01/2021 11:30;38,7
03/01/2021 11:35;38,7
03/01/2021 11:40;38,7
03/01/2021 11:45;38,7
03/01/2021 11:50;38,7
03/01/2021 11:55;38,7
03/01/2021 12:00;38,7
03/01/2021 12:05;38,7
03/01/2021 12:10;39
03/01/2021 12:15;38,7
03/01/2021 12:20;39,5
03/01/2021 12:25;39,1
03/01/2021 12:30;39,8
03/01/2021 12:35;39,5
03/01/2021 12:40;38,9
03/01/2021 12:45;40,8
03/01/2021 12:50;40,2
03/01/2021 12:55;40,2
03/01/2021 13:00;39,7
03/01/2021 13:05;39,6
03/01/2021 13:10;40,4
03/01/2021 13:15;40,4
03/01/2021 13:20;40,3
03/01/2021 13:25;40,4
03/01/2021 13:30;39,4
03/01/2021 13:35;40,2
03/01/2021 13:40;40,9
03/01/2021 13:45;40,8
03/01/2021 13:50;41,4
03/01/2021 13:55;41,4
03/01/2021 14:00;40,8
03/01/2021 14:05;
03/01/2021 14:10;40,8
03/01/2021 14:15;40,9
03/01/2021 14:20;41,4
03/01/2021 14:25;42,6
03/01/2021 14:30;41,1
03/01/2021 14:35;
03/01/2021 14:40;41,7
03/01/2021 14:45;40,8
03/01/2021 14:50;41,9
03/01/2021 14:55;40,4
03/01/2021 15:00;39,7
03/01/2021 15:05;40,2
03/01/2021 15:10;40,8
03/01/2021 15:15;40,6
03/01/2021 15:20;40,5
03/01/2021 15:25;41,3
03/01/2021 15:30;40,1
03/01/2021 15:35;41,3
03/01/2021 15:40;39,2
03/01/2021 15:45;40,3
03/01/2021 15:50;40,3
03/01/2021 15:55;40,2
03/01/2021 16:00;39,9
03/01/2021 16:05;40,2
03/01/2021 16:10;40
03/01/2021 16:15;39,4
03/01/2021 16:20;39,7
03/01/2021 16:25;39,3
03/01/2021 16:30;38,7
03/01/2021 16:35;38,3
03/01/2021 16:40;38,2
03/01/2021 16:45;37,6
03/01/2021 16:50;37,7
03/01/2021 16:55;37,7
03/01/2021 17:00;37,6
03/01/2021 17:05;37,3
03/01/2021 17:10;36,4
03/01/2021 17:15;36,8
03/01/2021 17:20;36,5
03/01/2021 17:25;36,3
03/01/2021 17:30;35,6
03/01/2021 17:35;35,5
03/01/2021 17:40;35,2
03/01/2021 17:45;34,9
03/01/2021 17:50;34,6
03/01/2021 17:55;34,3
03/01/2021 18:00;33,6
03/01/2021 18:05;
03/01/2021 18:10;32,7
03/01/2021 18:15;32,2
03/01/2021 18:20;31,7
03/01/2021 18:25;31,4
03/01/2021 18:30;30,9
03/01/2021 18:35;30,5
03/01/2021 18:40;30,1
03/01/2021 18:45;29,8
03/01/2021 18:50;29,55
03/01/2021 18:55;29
03/01/2021 19:00;28,7
03/01/2021 19:05;28,5
03/01/2021 19:10;28,25
03/01/2021 19:15;28,1
03/01/2021 19:20;28,1
03/01/2021 19:25;27,9
03/01/2021 19:30;27,7
03/01/2021 19:35;27,5
03/01/2021 19:40;27,25
03/01/2021 19:45;27,2
03/01/2021 19:50;27
03/01/2021 19:55;26,9
03/01/2021 20:00;26,9
03/01/2021 20:05;26,9
03/01/2021 20:10;26,9
03/01/2021 20:15;26,9
03/01/2021 20:20;26,8
03/01/2021 20:25;26,8
03/01/2021 20:30;26,8
03/01/2021 20:35;26,7
03/01/2021 20:40;26,7
03/01/2021 20:45;26,8
03/01/2021 20:50;26,9
03/01/2021 20:55;26,8
03/01/2021 21:00;26,7
03/01/2021 21:05;26,7
03/01/2021 21:10;26,7
03/01/2021 21:15;26,7
03/01/2021 21:20;26,7
03/01/2021 21:25;26,7
03/01/2021 21:30;26,7
03/01/2021 21:35;26,7
03/01/2021 21:40;26,7
03/01/2021 21:45;26,7
03/01/2021 21:50;26,7
03/01/2021 21:55;26,7
03/01/2021 22:00;26,7
03/01/2021 22:05;26,7
03/01/2021 22:10;26,7
03/01/2021 22:15;26,7
03/01/2021 22:20;26,7
03/01/2021 22:25;26,7
03/01/2021 22:30;26,7
03/01/2021 22:35;26,7
03/01/2021 22:40;26,7
03/01/2021 22:45;26,7
03/01/2021 22:50;26,7
03/01/2021 22:55;26,7
03/01/2021 23:00;26,7
03/01/2021 23:05;26,7
03/01/2021 23:10;26,7
03/01/2021 23:15;26,7
03/01/2021 23:20;26,7
03/01/2021 23:25;26,7
03/01/2021 23:30;26,7
03/01/2021 23:35;26,7
03/01/2021 23:40;26,7
03/01/2021 23:45;26,7
03/01/2021 23:50;26,7
03/01/2021 23:55;26,7
04/01/2021 00:00;26,7
04/01/2021 00:05;26,7
04/01/2021 00:10;26,7
04/01/2021 00:15;26,7
04/01/2021 00:20;26,7
04/01/2021 00:25;26,7
04/01/2021 00:30;26,7
04/01/2021 00:35;26,7
04/01/2021 00:40;26,7
04/01/2021 00:45;26,7
04/01/2021 00:50;26,7
04/01/2021 00:55;26,7
04/01/2021 01:00;26,7
04/01/2021 01:05;26,7
04/01/2021 01:10;26,7
04/01/2021 01:15;26,7
04/01/2021 01:20;26,7
04/01/2021 01:25;26,7
04/01/2021 01:30;26,7
04/01/2021 01:35;26,7
04/01/2021 01:40;26,7
04/01/2021 01:45;26,7
04/01/2021 01:50;26,7
04/01/2021 01:55;26,7
04/01/2021 02:00;26,7
04/01/2021 02:05;26,7
04/01/2021 02:10;26,7
04/01/2021 02:15;26,7
04/01/2021 02:20;26,7
04/01/2021 02:25;26,7
04/01/2021 02:30;26,7
04/01/2021 02:35;26,7
04/01/2021 02:40;26,7
04/01/2021 02:45;26,7
04/01/2021 02:50;26,7
04/01/2021 02:55;26,7
04/01/2021 03:00;26,7
04/01/2021 03:05;26,7
04/01/2021 03:10;26,7
04/01/2021 03:15;26,7
04/01/2021 03:20;26,7
04/01/2021 03:25;26,7
04/01/2021 03:30;26,7
04/01/2021 03:35;26,7
04/01/2021 03:40;26,7
04/01/2021 03:45;26,7
04/01/2021 03:50;26,7
04/01/2021 03:55;26,7
04/01/2021 04:00;26,7
04/01/2021 04:05;26,7
04/01/2021 04:10;26,7
04/01/2021 04:15;26,7
04/01/2021 04:20;26,7
04/01/2021 04:25;26,7
04/01/2021 04:30;26,7
04/01/2021 04:35;26,7
04/01/2021 04:40;26,7
04/01/2021 04:45;26,7
04/01/2021 04:50;26,7
04/01/2021 04:55;26,7
04/01/2021 05:00;26,7
04/01/2021 05:05;22,7
04/01/2021 05:10;22,7
04/01/2021 05:15;22,5
04/01/2021 05:20;22,5
04/01/2021 05:25;22,5
04/01/2021 05:30;22,7
04/01/2021 05:35;22,8
04/01/2021 05:40;22,8
04/01/2021 05:45;23,1
04/01/2021 05:50;23,1
04/01/2021 05:55;23,4
04/01/2021 06:00;23,4
04/01/2021 06:05;23,5
04/01/2021 06:10;23,4
04/01/2021 06:15;23,2
04/01/2021 06:20;22,9
04/01/2021 06:25;22,8
04/01/2021 06:30;22,8
04/01/2021 06:35;22,8
04/01/2021 06:40;22,8
04/01/2021 06:45;23
04/01/2021 06:50;23,2
04/01/2021 06:55;23,1
04/01/2021 07:00;23,1
04/01/2021 07:05;23,2
04/01/2021 07:10;23,3
04/01/2021 07:15;23,3
04/01/2021 07:20;23,2
